sample,range,burn_status,site,tree_numer,sample_number,description,morpho_tip_number,total_col_per_core,total_root_tips_per_core,dry_root_weight_per_core_grams,questionable_host,comment
F4C,santa.catalina,burned,SC1,F4,F4CA,"Black, singularand branched, hyphae abundant",,113,269,8.66,,
F4C,santa.catalina,burned,SC1,F4,F4CB,"Dark yellow, branched, white tip",,113,269,8.66,,
F4C,santa.catalina,burned,SC1,F4,F4CC,"Orange, branched, white tip",,113,269,8.66,,
F4C,santa.catalina,burned,SC1,F4,F4CD,"Green, irregular branched, white tip",,113,269,8.66,,
F4C,santa.catalina,burned,SC1,F4,F4CE,"Dark brown, irregular branched",,113,269,8.66,,
F5A,santa.catalina,burned,SC1,F5,F5AA,"Peachy tan, two colonies",,17,27,1.77,,
F5A,santa.catalina,burned,SC1,F5,F5AB,"Brown, dense white hyphae, white tip",,17,27,1.77,,
F5A,santa.catalina,burned,SC1,F5,F5AC,"Brown, singular, white tip",,17,27,1.77,,
F5B,santa.catalina,burned,SC1,F5,F5BA,"Brown, smooth mantle, bumpy, branchy",,79,119,5.87,,
F5B,santa.catalina,burned,SC1,F5,F5BB,"Peachy, brown, lighter tip, crusty, branchy",,79,119,5.87,,
F5B,santa.catalina,burned,SC1,F5,F5BC,"Brown, branchy, yellow hyphae",,79,119,5.87,,
F5B,santa.catalina,burned,SC1,F5,F5BD,"Black, fuzzy, dense black hyphae",,79,119,5.87,,
F5B,santa.catalina,burned,SC1,F5,F5BE,"Brown, smooth mantle, thick mantle",,79,119,5.87,,
F5B,santa.catalina,burned,SC1,F5,F5BF,Thick yellow mantle,,79,119,5.87,,
F5C,santa.catalina,burned,SC1,F5,F5CA,"Black, short, abundant hyphae",,105,299,6.23,,
F5C,santa.catalina,burned,SC1,F5,F5CB,"Light green/tan, irregular branched, white tip",,105,299,6.23,,
F5C,santa.catalina,burned,SC1,F5,F5CC,"Dark brow, white tip, singular/branched",,105,299,6.23,,
F5C,santa.catalina,burned,SC1,F5,F5CD,Black w/ yellow tip (white mantle),,105,299,6.23,,
F5C,santa.catalina,burned,SC1,F5,F5CE,Yellow cluster,,105,299,6.23,,
F6A,santa.catalina,burned,SC2,F6,F6AA,"Black, short, stub, abundant hyphae",,88,191,2.59,,
F6A,santa.catalina,burned,SC2,F6,F6AB,"Yellow/orange, white tip, singular",,88,191,2.59,,
F6A,santa.catalina,burned,SC2,F6,F6AC,"Short, black stump, singular",,88,191,2.59,,
F6A,santa.catalina,burned,SC2,F6,F6AD,"Brown/greenish, branched in two",,88,191,2.59,,
F6A,santa.catalina,burned,SC2,F6,F6AE,Dark brown w/ white tip,,88,191,2.59,,
F6B,santa.catalina,burned,SC2,F6,F6BA,"Yellow, white tip, singular and branched",,90,234,4.53,,
F6B,santa.catalina,burned,SC2,F6,F6BB,"Short, black hyphae abundant, singular",,90,234,4.53,,
F6B,santa.catalina,burned,SC2,F6,F6BC,"Branched, brown and green",,90,234,4.53,,
F6B,santa.catalina,burned,SC2,F6,F6BD,"Thin root, yellow bulb, white tip",,90,234,4.53,,
F6B,santa.catalina,burned,SC2,F6,F6BE,Brown cluster,,90,234,4.53,,
F6C,santa.catalina,burned,SC2,F6,F6CA,"Thick brown mantle, branchy",,70,109,3.71,,
F6C,santa.catalina,burned,SC2,F6,F6CB,"Brown below, mantle is light yellow",,70,109,3.71,,
F6C,santa.catalina,burned,SC2,F6,F6CC,"Light brown, singular, cottony hyphae, thick",,70,109,3.71,,
F6C,santa.catalina,burned,SC2,F6,F6CD,"Singular, thin, brown, white tip",,70,109,3.71,,
F7A,santa.catalina,burned,SC2,F7,F7AA,"Black mantle, dense black hyphae ",,2,43,1.31,,
F7B,santa.catalina,burned,SC2,F7,F7BA,"Black, singular, hyphae abundant",,159,216,1.97,,
F7B,santa.catalina,burned,SC2,F7,F7BB,Dark brown cluster,,159,216,1.97,,
F7B,santa.catalina,burned,SC2,F7,F7BC,"Dark green, branched",,159,216,1.97,,
F7B,santa.catalina,burned,SC2,F7,F7BD,"Light tan/ yellow, branched",,159,216,1.97,,
F7B,santa.catalina,burned,SC2,F7,F7BE,"Yellow/orange bulb, branched, white tip",,159,216,1.97,,
F7B,santa.catalina,burned,SC2,F7,F7BF,"Yellow/orange, clumped",,159,216,1.97,,
F7B,santa.catalina,burned,SC2,F7,F7BG,"Brown, branched",,159,216,1.97,,
F7C,santa.catalina,burned,SC2,F7,F7CA,"Dark brown below, light brown above, yellow hyphae",,165,205,1.73,,
F7C,santa.catalina,burned,SC2,F7,F7CB,"Tan branchy,  knobby, thick white hyphae",,165,205,1.73,,
F7C,santa.catalina,burned,SC2,F7,F7CC,"Dark brown, smooth matntle",,165,205,1.73,,
F7C,santa.catalina,burned,SC2,F7,F7CD,"Tan, singular, thick white hyphae",,165,205,1.73,,
F7C,santa.catalina,burned,SC2,F7,F7CE,"Tan with white tip, bifurcating",,165,205,1.73,,
F7C,santa.catalina,burned,SC2,F7,F7CF,"Tan clustered root tips, cottony hyphae",,165,205,1.73,,
F7C,santa.catalina,burned,SC2,F7,F7CG,"Brown, thick cotony white hyphae",,165,205,1.73,,
F8A,santa.catalina,burned,SC2,F8,F8AA,"Orange, brown, branchy, bumpy mantle",,10,15,3.49,,
F8B,santa.catalina,burned,SC2,F8,F8BA,"Black, fuzzy, dense black hyphae",,77,98,4.21,,
F8B,santa.catalina,burned,SC2,F8,F8BB,"Black, smooth mantle ?",,77,98,4.21,,
F8B,santa.catalina,burned,SC2,F8,F8BC,"Grey, thick clusters, stick hyphae",,77,98,4.21,,
F8B,santa.catalina,burned,SC2,F8,F8BD,"Tan, short dark brown hyphae",,77,98,4.21,,
F8B,santa.catalina,burned,SC2,F8,F8BE,"Peachy, smooth ?",,77,98,4.21,,
F8B,santa.catalina,burned,SC2,F8,F8BF,"Grey mantle, smooth branchy",,77,98,4.21,,
F8B,santa.catalina,burned,SC2,F8,F8BG,"Grey mantle, light tip",,77,98,4.21,,
F8C,santa.catalina,burned,SC2,F8,F8CA,"Orange/ yellow clusters, short",,127,138,1.96,,
F8C,santa.catalina,burned,SC2,F8,F8CB,"Black, short, abundant hyphae",,127,138,1.96,,
F8C,santa.catalina,burned,SC2,F8,F8CC,"Orange/yellow, singular, white tip",,127,138,1.96,,
F8C,santa.catalina,burned,SC2,F8,F8CD,Greenish w/ orange tip,,127,138,1.96,,
F8C,santa.catalina,burned,SC2,F8,F8CE,"Brown, branched, yellow tip",,127,138,1.96,,
F8C,santa.catalina,burned,SC2,F8,F8CF,"Dark brown, clusters",,127,138,1.96,,
F9A,santa.catalina,burned,SC2,F9,F9AA,"Black, singular and branched, hyphae abundant",,25,52,19.39,,
F9A,santa.catalina,burned,SC2,F9,F9AB,"Orange singular, white tip",,25,52,19.39,,
F9A,santa.catalina,burned,SC2,F9,F9AC,"Brown/tan, branched, white tip",,25,52,19.39,,
F9A,santa.catalina,burned,SC2,F9,F9AD,"Dark brown, double branched",,25,52,19.39,,
F9B,santa.catalina,burned,SC2,F9,F9BA,"Light tan, smooth mantle, clustered",,17,25,6.15,,
F9B,santa.catalina,burned,SC2,F9,F9BB,"Dark brown, branchy, cluster",,17,25,6.15,,
F9C,santa.catalina,burned,SC2,F9,F9CA,"Thin branchy, grey-tan, smooth mantle",,19,60,1.23,,
F9C,santa.catalina,burned,SC2,F9,F9CB,"Tan, dense cottony hyphae",,19,60,1.23,,
F10A,santa.catalina,burned,SC2,F10,F10AA,"Singular, tan-brown, yellow hyphae",,30,71,3.06,,
F10A,santa.catalina,burned,SC2,F10,F10AB,"Tan, short brown hypahe along mantle",,30,71,3.06,,
F10B,santa.catalina,burned,SC2,F10,F10BA,"Branched, orange and yellow, white tip",,76,155,4.69,,
F10B,santa.catalina,burned,SC2,F10,F10BB,"Brown, white tip, branched",,76,155,4.69,,
F10B,santa.catalina,burned,SC2,F10,F10BC,"Singular, yellow and orange, white tip",,76,155,4.69,,
F10B,santa.catalina,burned,SC2,F10,F10BD,"Singular, black, hyphae abundant",,76,155,4.69,,
F10B,santa.catalina,burned,SC2,F10,F10BE,"Greenish, branched",,76,155,4.69,,
F10C,santa.catalina,burned,SC2,F10,F10CA,Yellow/orange clusters,,58,103,4.04,,
F10C,santa.catalina,burned,SC2,F10,F10CB,"Greenish yellow, double branched",,58,103,4.04,,
F10C,santa.catalina,burned,SC2,F10,F10CC,"Yelow orange tip, white tip",,58,103,4.04,,
F10C,santa.catalina,burned,SC2,F10,F10CD,"Singular, black, hyphae abundant",,58,103,4.04,,
