tree1,tree2,dissimilarity,fire.history.1,fire.history.2,comp.fire,range.1,range.2,comp.range
F6,NF12,0.83887468,burned,unburned,Different,santa.catalina,pinaleno,Different
F7,NF12,0.962616822,burned,unburned,Different,santa.catalina,pinaleno,Different
F8,NF12,0.968660969,burned,unburned,Different,santa.catalina,pinaleno,Different
F9,NF12,0.918819188,burned,unburned,Different,santa.catalina,pinaleno,Different
NF13,NF13,0,unburned,unburned,Same,pinaleno,pinaleno,Same
NF14,NF13,0.966386555,unburned,unburned,Same,pinaleno,pinaleno,Same
NF15,NF13,0.933246073,unburned,unburned,Same,pinaleno,pinaleno,Same
NF17,NF13,1,unburned,unburned,Same,pinaleno,pinaleno,Same
NF18,NF13,1,unburned,unburned,Same,pinaleno,pinaleno,Same
NF20,NF13,1,unburned,unburned,Same,pinaleno,pinaleno,Same
F11,NF13,0.995689655,burned,unburned,Different,pinaleno,pinaleno,Same
F12,NF13,0.99154334,burned,unburned,Different,pinaleno,pinaleno,Same
F13,NF13,0.992202729,burned,unburned,Different,pinaleno,pinaleno,Same
F14,NF13,0.987730061,burned,unburned,Different,pinaleno,pinaleno,Same
F15,NF13,0.991044776,burned,unburned,Different,pinaleno,pinaleno,Same
F16,NF13,0.99137931,burned,unburned,Different,pinaleno,pinaleno,Same
F17,NF13,0.990804598,burned,unburned,Different,pinaleno,pinaleno,Same
F18,NF13,0.99,burned,unburned,Different,pinaleno,pinaleno,Same
F19,NF13,1,burned,unburned,Different,pinaleno,pinaleno,Same
F20,NF13,0.99871959,burned,unburned,Different,pinaleno,pinaleno,Same
LB019,NF13,0.995735608,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB020,NF13,0.990306947,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB021,NF13,0.991507431,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB023,NF13,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB024,NF13,0.989071038,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB055,NF13,0.988924051,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB056,NF13,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB057,NF13,0.989864865,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB058,NF13,0.994932432,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB059,NF13,0.972250771,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB060,NF13,0.992307692,unburned,unburned,Same,santa.catalina,pinaleno,Different
F1,NF13,0.989417989,burned,unburned,Different,santa.catalina,pinaleno,Different
F2,NF13,0.990384615,burned,unburned,Different,santa.catalina,pinaleno,Different
F3,NF13,0.919941776,burned,unburned,Different,santa.catalina,pinaleno,Different
F4,NF13,0.954022989,burned,unburned,Different,santa.catalina,pinaleno,Different
F5,NF13,0.989813243,burned,unburned,Different,santa.catalina,pinaleno,Different
F10,NF13,0.98880597,burned,unburned,Different,santa.catalina,pinaleno,Different
F6,NF13,0.908108108,burned,unburned,Different,santa.catalina,pinaleno,Different
F7,NF13,0.99,burned,unburned,Different,santa.catalina,pinaleno,Different
F8,NF13,0.986193294,burned,unburned,Different,santa.catalina,pinaleno,Different
F9,NF13,0.974654378,burned,unburned,Different,santa.catalina,pinaleno,Different
NF14,NF14,0,unburned,unburned,Same,pinaleno,pinaleno,Same
NF15,NF14,0.95766129,unburned,unburned,Same,pinaleno,pinaleno,Same
NF17,NF14,0.98340249,unburned,unburned,Same,pinaleno,pinaleno,Same
NF18,NF14,0.965317919,unburned,unburned,Same,pinaleno,pinaleno,Same
NF20,NF14,0.961038961,unburned,unburned,Same,pinaleno,pinaleno,Same
F11,NF14,0.987951807,burned,unburned,Different,pinaleno,pinaleno,Same
F12,NF14,0.982954545,burned,unburned,Different,pinaleno,pinaleno,Same
F13,NF14,0.986111111,burned,unburned,Different,pinaleno,pinaleno,Same
F14,NF14,0.984536082,burned,unburned,Different,pinaleno,pinaleno,Same
F15,NF14,0.981132075,burned,unburned,Different,pinaleno,pinaleno,Same
F16,NF14,0.992518703,burned,unburned,Different,pinaleno,pinaleno,Same
F17,NF14,0.97826087,burned,unburned,Different,pinaleno,pinaleno,Same
F18,NF14,0.937931034,burned,unburned,Different,pinaleno,pinaleno,Same
F19,NF14,1,burned,unburned,Different,pinaleno,pinaleno,Same
F20,NF14,1,burned,unburned,Different,pinaleno,pinaleno,Same
LB019,NF14,0.988304094,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB020,NF14,0.990740741,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB021,NF14,0.982758621,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB023,NF14,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB024,NF14,0.946721311,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB055,NF14,0.975975976,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB056,NF14,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB057,NF14,0.98989899,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB058,NF14,0.939285714,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB059,NF14,0.969162996,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB060,NF14,0.959488273,unburned,unburned,Same,santa.catalina,pinaleno,Different
F1,NF14,0.985239852,burned,unburned,Different,santa.catalina,pinaleno,Different
F2,NF14,0.987804878,burned,unburned,Different,santa.catalina,pinaleno,Different
F3,NF14,0.962616822,burned,unburned,Different,santa.catalina,pinaleno,Different
F4,NF14,0.92173913,burned,unburned,Different,santa.catalina,pinaleno,Different
F5,NF14,0.989795918,burned,unburned,Different,santa.catalina,pinaleno,Different
F10,NF14,0.987551867,burned,unburned,Different,santa.catalina,pinaleno,Different
F6,NF14,0.945205479,burned,unburned,Different,santa.catalina,pinaleno,Different
F7,NF14,0.956632653,burned,unburned,Different,santa.catalina,pinaleno,Different
F8,NF14,0.961538462,burned,unburned,Different,santa.catalina,pinaleno,Different
F9,NF14,0.942446043,burned,unburned,Different,santa.catalina,pinaleno,Different
NF15,NF15,0,unburned,unburned,Same,pinaleno,pinaleno,Same
NF17,NF15,0.974729242,unburned,unburned,Same,pinaleno,pinaleno,Same
NF18,NF15,0.94092827,unburned,unburned,Same,pinaleno,pinaleno,Same
NF20,NF15,0.894495413,unburned,unburned,Same,pinaleno,pinaleno,Same
F11,NF15,0.99591002,burned,unburned,Different,pinaleno,pinaleno,Same
F12,NF15,0.991967871,burned,unburned,Different,pinaleno,pinaleno,Same
F13,NF15,0.994434137,burned,unburned,Different,pinaleno,pinaleno,Same
F14,NF15,0.968253968,burned,unburned,Different,pinaleno,pinaleno,Same
F15,NF15,0.976642336,burned,unburned,Different,pinaleno,pinaleno,Same
F16,NF15,0.946376812,burned,unburned,Different,pinaleno,pinaleno,Same
F17,NF15,0.991304348,burned,unburned,Different,pinaleno,pinaleno,Same
F18,NF15,0.937710438,burned,unburned,Different,pinaleno,pinaleno,Same
F19,NF15,1,burned,unburned,Different,pinaleno,pinaleno,Same
F20,NF15,1,burned,unburned,Different,pinaleno,pinaleno,Same
LB019,NF15,0.995951417,unburned,unburned,Same,santa.catalina,pinaleno,Different
