"anosim.res","stress.nmds","F.betadisper","df.betadisper.1","df.betadisper.2","p.betadisper","r","p"
"jaccard",0.198855716918257,1.31001644268356,3,36,0.286134988433646,0.294302659128013,0.001
"morisita",0.188338110366097,2.71743742768462,3,36,0.0589172642659244,0.245953200084856,0.001
