Site,Range,Burn_status,prec,temp.warmest.quarter,pH.su,po4.p.ppm,so4.s.ppm,b.ppm,Scaled ALPHA,Shannon's index
p1,pinaleno,unburned,567.6628378,19.36051558,4.533333333,2.263333333,9.366666667,0.373333333,20.59766764,2.913026
p2,pinaleno,unburned,572.7170368,19.27749696,5.366666667,2.9,6.2,0.343333333,22.18954248,2.859836
p3,pinaleno,burned,624.6563802,18.18223366,6.566666667,12.86666667,3.833333333,0.586666667,34.61732852,3.219423
p4,pinaleno,burned,609.1860032,18.52339328,5.5,9.7,3.833333333,0.286666667,27.83627608,3.124508
sc1,santa.catalina,unburned,683.2906347,19.42297029,5.233333333,8.933333333,14.6,0.243333333,17.73372781,2.715926
sc2,santa.catalina,unburned,712.1216163,18.64670493,5.033333333,5.633333333,19,0.263333333,31.75078864,3.250971
sc3,santa.catalina,burned,700.226373,18.98631058,5.666666667,9.966666667,2.633333333,0.506666667,33.02325581,3.217359
sc4,santa.catalina,burned,677.6602524,19.604532,4.7,8.9,4.2,0.503333333,9.407588739,2.536004
