"data","df1","df2","f.stat","p.value"
"w/ singletons.range",1,38,0.0543125713486764,0.816972932876754
"w/ singletons.burn",1,38,6.52757177232296,0.014749335563308
"w/o singletons.range",1,38,0.796772833905483,0.377678061404711
"w/o singletons.burn",1,38,6.30335319355922,0.016425194390012
