"test","F.model.burn.status","r2.burn.status","p.burn.status","F.model.range","r2.range","p.range","F.model.temp","r2.temp","p.temp"
"jaccard",1.63045933872148,0.0363588222228322,0.001998001998002,2.13586358864827,0.047629206486546,0.000999000999000999,2.13242567707798,0.0475525419462944,0.000999000999000999
"morisita",3.80273631792706,0.071860511420629,0.002997002997003,3.32957273130664,0.0629191138380858,0.000999000999000999,4.37852001467142,0.0827411267082715,0.000999000999000999
