"data","df1","df2","f.stat","p.value"
"w/ singletons.range",1,38,0.0543125713486764,0.816972932876754
"w/ singletons.burn",1,38,6.52757177232296,0.014749335563308
"w/o singletons.range",1,38,0.0585101182911332,0.810167102904758
"w/o singletons.burn",1,38,6.55234042857586,0.0145758230772354
