"anosim.res","stress.nmds","F.betadisper","df.betadisper.1","df.betadisper.2","p.betadisper","r","p"
"jaccard",0.172722913071522,0.987193726705666,3,36,0.409718111513149,0.272953703703704,0.001
"morisita",0.144871082749234,1.04023089087667,3,36,0.386477012791469,0.241507484850441,0.001
