"tests","chi.stat","df","p.value"
"burn.range.class",44.4790943105174,12,1.26520129590222e-05
"burn.class",3.59195025598271,4,0.464035510131884
"range.class",5.66975831509383,4,0.225205663642779
"burn.range.genus",30.0031002875121,17,0.0263227283202552
"burn.genus",30.0031002875121,17,0.0263227283202552
"range.genus",34.9397396949123,17,0.00633553381280546
