"anosim.res","stress.nmds","F.betadisper","df.betadisper.1","df.betadisper.2","p.betadisper","r","p"
"jaccard",0.185394784860045,1.81522695410036,3,37,0.161311444674556,0.219640768588137,0.001
"morisita",0.187528579335875,7.53413396737896,3,37,0.00046850309333655,NA,NA
