OTU_ID,taxonomy,Taxon,Taxon Level,Trophic Mode,Guild,Confidence Ranking,Growth Morphology,Trait,Notes,Citation/Source
otu13,Basidiomycota;Agaricomycetes;Boletales;Rhizopogonaceae;Rhizopogon,Rhizopogon,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Gasteroid,Hypogeous,Common name - false truffle,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu14,Basidiomycota;Agaricomycetes;Atheliales;Atheliaceae;Amphinema,Amphinema,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Corticioid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu21,Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Coltricia,Coltricia,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Polyporoid,NULL,NULL,"Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo; Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263"
otu29,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;NA,Russulaceae,9,Symbiotroph,Ectomycorrhizal,Probable,Agaricoid-Corticioid-Gasteroid-Secotioid,NULL,"The genera Lactarius, Lactifluus, Multifurca and Russula form a mutualistic ectomycorrhizal root symbiosis with trees and shrubs, while the corticioid species in Boidinia, Gloeopeniophorella, and Pseudoxenasma are saprotrophic, wood-degrading fungi.","Larsson E, K-H Larsson. 2003. Mycologia 95:1037-1065"
otu3,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella,Tomentella,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Corticioid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu32,Ascomycota;Leotiomycetes;Helotiales;Myxotrichaceae;Oidiodendron,Oidiodendron,13,Pathotroph-Symbiotroph,Ericoid Mycorrhizal,Probable,Dark Septate Endophyte,NULL,NULL,Newsham 2011. New Phytologist 190:783-793 (as DSE)
otu36,Basidiomycota;Agaricomycetes;Cantharellales;Clavulinaceae;Clavulina,Clavulina,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Clavarioid,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)"
otu4,Basidiomycota;Agaricomycetes;Cantharellales;Cantharellaceae;Pseudocraterellus,Pseudocraterellus,13,Symbiotroph,Ectomycorrhizal,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:1256688"
otu40,Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita,Amanita,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu42,Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;Archaeorhizomycetaceae;Archaeorhizomyces,Archaeorhizomyces,13,Saprotroph,Soil Saprotroph,Probable,Microfungus,NULL,From rhizosphere soil and coniferous ectomycorrhizal root tips (Rosling et al. 2011),"Rosling A, et al. 2011. Science 333:876-879"
otu44,Basidiomycota;Agaricomycetes;Sebacinales;Sebacinaceae;Sebacina,Sebacina,13,Symbiotroph,Ectomycorrhizal-Orchid Mycorrhizal-Root Associated Biotroph,Possible,NULL,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (pro parte); http://mycorrhizas.info/ecmf.html; Weiss et al. doi: 10.1111/nph.13977 (many guilds)"
otu45,Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe,Inocybaceae,9,Symbiotroph,Ectomycorrhizal,Probable,Agaricoid,NULL,"Sensu stricto with the exclusion of Crepidotaceae, Tubariaceae, and Chromocyphellaceae; Pharmacology: muscarine, psilocybin, aeruginascen, unclarified alkaloids, or none",Matheny PB. 2009. McIlvainea 18:11-21
otu46,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Lactarius,Lactarius,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,Common name - milk-cap,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu48,Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius,Cortinarius,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu51,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;NA,Thelephoraceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Undefined Saprotroph,Probable,Clavarioid,NULL,"On the ground, on soil, a few on wood. At least some speices ectomycorrhizal (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
otu54,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula,Russula,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu57,Basidiomycota;Agaricomycetes;Sebacinales;Sebacinaceae;Sebacina,Sebacina,13,Symbiotroph,Ectomycorrhizal-Orchid Mycorrhizal-Root Associated Biotroph,Possible,NULL,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (pro parte); http://mycorrhizas.info/ecmf.html; Weiss et al. doi: 10.1111/nph.13977 (many guilds)"
otu58,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;NA,Russulaceae,9,Symbiotroph,Ectomycorrhizal,Probable,Agaricoid-Corticioid-Gasteroid-Secotioid,NULL,"The genera Lactarius, Lactifluus, Multifurca and Russula form a mutualistic ectomycorrhizal root symbiosis with trees and shrubs, while the corticioid species in Boidinia, Gloeopeniophorella, and Pseudoxenasma are saprotrophic, wood-degrading fungi.","Larsson E, K-H Larsson. 2003. Mycologia 95:1037-1065"
otu67,Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe,Inocybaceae,9,Symbiotroph,Ectomycorrhizal,Probable,Agaricoid,NULL,"Sensu stricto with the exclusion of Crepidotaceae, Tubariaceae, and Chromocyphellaceae; Pharmacology: muscarine, psilocybin, aeruginascen, unclarified alkaloids, or none",Matheny PB. 2009. McIlvainea 18:11-21
otu69,Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;Peziza,Peziza,13,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph,Possible,Pezizoid,NULL,"Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (pro parte)"
otu7,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula,Russula,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu70,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;NA,Thelephoraceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Undefined Saprotroph,Probable,Clavarioid,NULL,"On the ground, on soil, a few on wood. At least some speices ectomycorrhizal (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
otu79,Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;Hydnobolites,Hydnobolites,13,Symbiotroph,Ectomycorrhizal,Highly Probable,NULL,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263"
otu83,Basidiomycota;Agaricomycetes;Sebacinales;Sebacinaceae;Sebacina,Sebacina,13,Symbiotroph,Ectomycorrhizal-Orchid Mycorrhizal-Root Associated Biotroph,Possible,NULL,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (pro parte); http://mycorrhizas.info/ecmf.html; Weiss et al. doi: 10.1111/nph.13977 (many guilds)"
otu84,Basidiomycota;Agaricomycetes;Sebacinales;Sebacinaceae;Sebacina,Sebacina,13,Symbiotroph,Ectomycorrhizal-Orchid Mycorrhizal-Root Associated Biotroph,Possible,NULL,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (pro parte); http://mycorrhizas.info/ecmf.html; Weiss et al. doi: 10.1111/nph.13977 (many guilds)"
otu87,Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;Peziza,Peziza,13,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph,Possible,Pezizoid,NULL,"Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (pro parte)"
otu88,Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe,Inocybaceae,9,Symbiotroph,Ectomycorrhizal,Probable,Agaricoid,NULL,"Sensu stricto with the exclusion of Crepidotaceae, Tubariaceae, and Chromocyphellaceae; Pharmacology: muscarine, psilocybin, aeruginascen, unclarified alkaloids, or none",Matheny PB. 2009. McIlvainea 18:11-21
otu94,Basidiomycota;Agaricomycetes;Sebacinales;Sebacinaceae;Sebacina,Sebacina,13,Symbiotroph,Ectomycorrhizal-Orchid Mycorrhizal-Root Associated Biotroph,Possible,NULL,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (pro parte); http://mycorrhizas.info/ecmf.html; Weiss et al. doi: 10.1111/nph.13977 (many guilds)"
otu98,Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe,Inocybaceae,9,Symbiotroph,Ectomycorrhizal,Probable,Agaricoid,NULL,"Sensu stricto with the exclusion of Crepidotaceae, Tubariaceae, and Chromocyphellaceae; Pharmacology: muscarine, psilocybin, aeruginascen, unclarified alkaloids, or none",Matheny PB. 2009. McIlvainea 18:11-21
otu111,NA;NA;NA;NA;NA,-,-,-,-,-,-,-,Unassigned,-
otu114,NA;NA;NA;NA;NA,-,-,-,-,-,-,-,Unassigned,-
otu118,NA;NA;NA;NA;NA,-,-,-,-,-,-,-,Unassigned,-
otu123,Basidiomycota;Agaricomycetes;NA;NA;NA,-,-,-,-,-,-,-,Unassigned,-
otu60,Ascomycota;Leotiomycetes;Helotiales;NA;NA,-,-,-,-,-,-,-,Unassigned,-
otu63,Basidiomycota;Agaricomycetes;Agaricales;NA;NA,-,-,-,-,-,-,-,Unassigned,-
otu72,Basidiomycota;Agaricomycetes;Tremellodendropsidales;NA;NA,-,-,-,-,-,-,-,Unassigned,-
otu96,Ascomycota;Leotiomycetes;Rhytismatales;NA;NA,-,-,-,-,-,-,-,Unassigned,-
otu99,Ascomycota;Pezizomycetes;NA;NA;NA,-,-,-,-,-,-,-,Unassigned,-
