OTU_ID,taxonomy,Taxon,Taxon Level,Trophic Mode,Guild,Confidence Ranking,Growth Morphology,Trait,Notes,Citation/Source
otu30,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella,Tomentella,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Corticioid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu34,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula,Russula,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu41,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;NA,Thelephoraceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Undefined Saprotroph,Probable,Clavarioid,NULL,"On the ground, on soil, a few on wood. At least some speices ectomycorrhizal (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
otu61,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula,Russula,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu62,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula,Russula,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu80,Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Tarzetta,Tarzetta,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Pezizoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263"
otu65,Basidiomycota;Agaricomycetes;Agaricales;NA;NA,-,-,-,-,-,-,-,Unassigned,-
otu10,Basidiomycota;Agaricomycetes;Sebacinales;Serendipitaceae;Serendipita,Serendipita,13,Symbiotroph,Orchid Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (pro parte); Weiss et al. DOI: 10.1111/nph.13977"
otu108,Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;NA,Pezizaceae,9,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph,Possible,Pezizoid,NULL,"Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
otu120,Basidiomycota;Agaricomycetes;Atheliales;Atheliaceae;Amphinema,Amphinema,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Corticioid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu2,Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita,Amanita,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
