OTU_ID,F1,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F2,F20,F3,F4,F5,F6,F7,F8,F9,LB019,LB020,LB021,LB023,LB024,LB055,LB056,LB057,LB058,LB059,LB060,NF11,NF12,NF13,NF14,NF15,NF16,NF17,NF18,NF19,NF20,taxonomy
otu119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe
otu12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe
otu120,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Atheliales;Atheliaceae;Amphinema
otu121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
otu122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascomycota;Leotiomycetes;Helotiales;Myxotrichaceae;Oidiodendron
otu123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Basidiomycota;Agaricomycetes;NA;NA;NA
otu13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Boletales;Rhizopogonaceae;Rhizopogon
otu14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Atheliales;Atheliaceae;Amphinema
otu15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,4,0,0,0,0,0,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula
otu16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella
