"anosim.res","stress.nmds","F.betadisper","df.betadisper.1","df.betadisper.2","p.betadisper","r","p"
"jaccard",0.172725531435108,0.987193726705666,3,36,0.409718111513149,0.272953703703704,0.001
"morisita",0.0186705669113584,31.3123889173549,3,36,3.88229457204185e-10,0.439740740740741,0.001
